GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.movie,MovieServiceImpl,0,60,2,2,0,21,2,6,0,6
ticket-service,com.epam.training.ticketservice.movie,Movie.MovieBuilder,0,20,0,0,0,7,0,4,0,4
ticket-service,com.epam.training.ticketservice.movie,Movie,50,77,4,6,13,24,9,9,5,8
ticket-service,com.epam.training.ticketservice.movie,MovieCommandHandler,78,0,8,0,23,0,10,0,6,0
ticket-service,com.epam.training.ticketservice,CliApplication,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.account,Account,77,26,11,1,15,10,11,5,5,5
ticket-service,com.epam.training.ticketservice.account,AccountServiceImpl,21,59,2,8,6,20,3,9,2,5
ticket-service,com.epam.training.ticketservice.account,AccountRommandHandler,20,0,0,0,7,0,4,0,4,0
ticket-service,com.epam.training.ticketservice.account,Account.AccountBuilder,20,0,0,0,7,0,4,0,4,0
ticket-service,com.epam.training.ticketservice.data,Role,0,15,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.data,Constants,15,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.screening,ScreeningServiceImpl,22,46,5,7,4,15,6,5,2,3
ticket-service,com.epam.training.ticketservice.screening,Screening.ScreeningBuilder,0,20,0,0,0,7,0,4,0,4
ticket-service,com.epam.training.ticketservice.screening,Screening,73,74,6,6,21,20,12,7,6,7
ticket-service,com.epam.training.ticketservice.screening,ScreeningCommandHandler,109,0,8,0,30,0,9,0,5,0
ticket-service,com.epam.training.ticketservice.helpers,OverlappingChecker,3,82,3,13,1,17,4,7,1,2
ticket-service,com.epam.training.ticketservice.configuration,TicketServicePromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.room,RoomServiceImpl,0,60,2,2,0,21,2,6,0,6
ticket-service,com.epam.training.ticketservice.room,RoomCommandHandler,78,0,8,0,23,0,10,0,6,0
ticket-service,com.epam.training.ticketservice.room,Room,65,79,5,7,10,24,11,8,6,7
ticket-service,com.epam.training.ticketservice.room,Room.RoomBuilder,0,20,0,0,0,7,0,4,0,4
